FID,poi_id,site_id,state_abbr,latitude,longitude,source_lay,descriptio,location_d,site_resul,investigat,notes,validation
2394,3010,5,AZ,33.493861,-112.850528,beacons_kml,"LOS ANGELES PHOENIX AWY BCN 31<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DV2162</a></p>", ,Other Evidence,NFIR,"Phoenix (1958) topo, lines up with Zhanna point",Y
4156,4945,5,AZ,33.494195,-112.84518,Phoenix Sectional Aeronautical Chart,31, ,Other Evidence,NFIR, ,N
5,6,6,AZ,33.445,-112.583889,beacon_ksn,Tower location.,"I10 @ Exit 114, north on Miller Rd 0.7 miles, left on access road 0.4 miles to generator site (.04 miles from GPS location); tower is on top of hill.",FST(s),NFIR, ,N
6,7,6,AZ,33.448167,-112.597111,beacon_ksn,"Possible Tank; Site is 1/2 mile from access road, dirt roads are in fair condition.","I10 @ Exit 114, north on Miller Rd 0.7 miles, left on access road 0.4 miles to generator site (.04 miles from GPS location); tower is on top of hill.",FST(s),NFIR, ,N
2393,3009,6,AZ,33.449714,-112.600483,beacons_kml,"LOS ANGELES PHOENIX AWY BCN 33<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DV2137</a></p>", ,FST(s),NFIR,"Valencia (1957) topo, lines up with Zhanna point",Y
4157,4946,6,AZ,33.448246,-112.599059,Phoenix Sectional Aeronautical Chart,33, ,FST(s),NFIR, ,N
7,8,7,AZ,33.456111,-112.291667,beacon_ksn,GPS LOC. IN CORN FIELD,"I-10 WEST TO 107TH AVE., SOUTH ON 107TH AVE .3 MILE TO GPS LOCATION",Nothing Found,NFIR,manually moved to align with Avondale (1946) topo,Y
4158,4949,7,AZ,33.452471,-112.308572,Phoenix Sectional Aeronautical Chart,35, ,Nothing Found,NFIR, ,N
8,9,8,AZ,33.3625,-111.9675,beacon_ksn,NO FINDINGS,"I-10 SOUTH TO BASELINE RD., BASELINE EAST TO PRIEST TURN RT., TURN RIGHT ON GUADALUPE RD.TO I-10 RIGHT OF WAY",Nothing Found,NFIR, ,N
2385,3001,8,AZ,33.367083,-111.979556,beacons_kml,"PHOENIX TUCSON AWY BCN O<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DU2166</a></p>", ,Nothing Found,NFIR,"Guadalupe (1952) topo and others, lines up with Zhanna point",Y
4160,4952,8,AZ,33.366381,-111.974776,Phoenix Sectional Aeronautical Chart,0, ,Nothing Found,NFIR, ,N
9,10,9,AZ,33.188611,-111.800278,beacon_ksn,"No findings of any kind. GPS location was middle of freshly plowed field.; Property is fenced, gates are locked, and in order to get to site follow irrigation canals. Verbal permission was granted from Gila River Land Use Dept.","Interstate 10 Exit #167, Riggs Rd., East on Riggs to Cooper Rd., then south to Hunt Hwy. Cooper dead ends at Hunt Hwy. Site is located approx. .8 mile south through corn fields, on Indian Land.",Nothing Found,NFIR,nothing on aerials or topos,R
2384,3000,9,AZ,33.188607,-111.806764,beacons_kml,"PHOENIX TUCSON AWY BCN 2<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DU2134</a></p>", ,Nothing Found,NFIR,nothing on aerials or topos,R
4163,4956,9,AZ,33.193145,-111.803653,Phoenix Sectional Aeronautical Chart,2, ,Nothing Found,NFIR,nothing on aerials or topos,R
10,11,10,AZ,33.043333,-111.725833,beacon_ksn,"NO FINDINGS; NARROW , SANDY, DIRT ROADS","I-10 AT EXIT 167; RIGGS RD., RIGGS EAST TO S87 SOUTH TO S187, RT. TURN  ON S187 APPROX. 1 MILE  TO RT. TURN ON DIRT RD.",Nothing Found,NFIR,nothing on aerials or topos,R
2381,2997,10,AZ,33.044563,-111.733321,beacons_kml,"PHOENIX TUCSON AWY BCN 3 A<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DU2114</a></p>", ,Nothing Found,NFIR,nothing on aerials or topos,R
11,12,11,AZ,33.00375,-111.683333,beacon_ksn,POWER POLES ARE IN USE BY OTHERS; EIGHT OF THE POLES LOOK VERY OLD AND COULD HAVE BEEN USED FOR BEACON SITE POWER. NO E/G FINDINGS AT ALL.; NARROW STEEP DIRT ROAD TO TOWER LOCATION; 4WD A MUST,"I-10 SOUTH TO EXIT 185, EAST ON S387 TO DIRT RD. ON RT. SIDE, JUST PAST MILE POST 13",Other Structures,FIR,nothing on aerials or topos,N
2383,2999,11,AZ,33.003276,-111.674757,beacons_kml,"SACATON PEAK AIR BEACON<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DU2118</a></p>", ,Other Structures,FIR,"Sacaton (1966) topo - near radio tower, lines up with Zhanna point, did not move",Y
4162,4955,11,AZ,33.004593,-111.664219,Phoenix Sectional Aeronautical Chart,3, ,Other Structures,FIR,nothing on aerials or topos,N
12,13,12,AZ,32.822778,-113.572222,beacon_ksn,NO FINDINGS,"I-10 SOUTH TO EXIT 194, FLORENCE BLVD., EAST TO CURRY RD., TURN RT.,TO HANNA, TURN LEFT TO GPS LOCATION",Nothing Found,NFIR,"correct general area if ""tower"" on 60s topo referring to beacon",R
13,14,13,AZ,32.568349,-111.388371,beacon_ksn,"No findings at GPS location or surrounding area.; sandy open field w/trees and shrubs, limited view","I10 @ Exit 226, SW on Sasco Rd approx. 1 mile, west (right) on Coachway Rd which turns into Cripple Creek heading north, just past Whirlwind Rd follow GPS into field to the east",Nothing Found,NFIR, ,N
2318,2934,13,AZ,32.566722,-111.394889,beacons_kml,"AIRWAY BEACON W OF AIRPORT 38<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CZ1930</a></p>", ,Nothing Found,NFIR,"Red Rock (1947) topo, lines up with Zhanna point",Y
4166,4961,13,AZ,32.562525,-111.398028,Phoenix Sectional Aeronautical Chart,7A, ,Nothing Found,NFIR, ,N
14,15,14,AZ,32.591111,-111.346944,beacon_ksn,NO FINDINGS; NARROW DIRT RDS.,"I-10 SOUTH TO EXIT 226, SASCO RD. WEST 1 MI. TO RT. TURN ON DIRT RD. FOLLOW GPS",Nothing Found,NFIR, ,N
4165,4960,14,AZ,32.605306,-111.350493,Phoenix Sectional Aeronautical Chart,7B, ,Nothing Found,NFIR,"Red Rock (1947) topo, manually moved a bit",Y
15,16,15,AZ,32.386921,-111.138579,beacon_ksn,No findings. Topo map indicated that the beacon was located on the peak north of Rattlesnake Pass. Only new sites were identified; no evidence of the former FAA site; Paved roads to base of mountain; must hike up approx. 1/2 mile due to locked gate.,"Interstate 10 @ Exit 242, west on Arva Valley Rd approx. 1 mile, south (left) on Cement Plant Rd to N. Silverbell Rd.",Nothing Found,NFIR, ,N
2321,2937,15,AZ,32.38915,-111.145788,beacons_kml,"AIRWAY BEACON 8<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CZ1965</a></p>", ,Nothing Found,NFIR,"Red Rock (1947) topo, lines up with Zhanna point",Y
4171,4966,15,AZ,32.387176,-111.145568,Phoenix Sectional Aeronautical Chart,8, ,Nothing Found,NFIR, ,N
16,17,16,AZ,32.062222,-110.651389,beacon_ksn,"Tower foundation located on top of the mountain, only concrete footers remain. No evidence of an UST (no fuel lines or depression in soil) - therefore no soil samples were taken.; Dirt access road to site is accessible only with 4 wheel drive vehicle.","Interstate 10 @ Exit 279, towards Vail, north on E. Colossal Rd approx. 5.5 miles, left on Pistol Hill Rd, 1.1 miles to access road at base of mountain, site is 0.2 miles up the road (0.98 miles NW of GPS location).",Other Structures,FIR, ,N
2317,2933,16,AZ,32.062129,-110.651933,beacons_kml,"AIRWAY BEACON 12<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CZ1821</a></p>", ,Other Structures,FIR,"Tucson (1956) topo, lines up with Zhanna point",Y
4176,4973,16,AZ,32.060067,-110.641002,Phoenix Sectional Aeronautical Chart,12, ,Other Structures,FIR, ,N
17,18,17,AZ,32.046667,-110.406944,beacon_ksn,"Possible Tank; Unmaintained dirt roads, 4 wheel necessary to drive up near to antenna site, 1/2 mile hike to summit.","Interstate 10 @ Exit 297, north on Mescal Rd approx.  miles, veer right on designated access road, follow GPS, site is .31 miles NW from GPS reading.",FST(s),FIR, ,N
2316,2932,17,AZ,32.049722,-110.404972,beacons_kml,"PHOENIX EL PASO AWY BCN T 1<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CZ1797</a></p>", ,FST(s),FIR,"Tucson (1956) and others, lines up with Zhanna point",Y
4175,4971,17,AZ,32.051268,-110.403506,Phoenix Sectional Aeronautical Chart,T-1, ,FST(s),FIR, ,N
18,19,18,AZ,31.92,-110.369444,beacon_ksn,"Dirt roads, building is visible above shrubs.","Interstate 10 @ 90, South on 90 2 miles to Whetstone, right on Whetstone approx. 2 miles through gate at Canary Spring Rd intersection, site located on right (0.6 miles from GPS location).",Other Structures,FIR,very close to point on topo,N
2268,2884,18,AZ,31.92025,-110.369556,beacons_kml,"AVIATION BEACON 45 A<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CG0975</a></p>", ,Other Structures,FIR,"Benson (1958) topo, lines up with Zhanna point",Y
4179,4977,18,AZ,31.919942,-110.370496,Douglas Sectional Aeronautical Chart,14, ,Other Structures,FIR,very close to point on topo,N
19,20,19,AZ,32.0325,-110.113611,beacon_ksn,Primitive dirt roads to site -- No road to tower site on hill,"Interstate 10 east of Benson,, Off of Interstate 10 just west of Dragoon Road there is a dirt road with a gate -- follow the dirt road to the site",Other Structures,FIR, ,N
2315,2931,19,AZ,32.033972,-110.115575,beacons_kml,"PHOENIX EL PASO AWY BCN T 2<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CZ1783</a></p>", ,Other Structures,FIR,"Dragoon (1958) topo, lines up with Zhanna point",Y
4174,4970,19,AZ,32.032254,-110.112126,Phoenix Sectional Aeronautical Chart,T-2, ,Other Structures,FIR, ,N
20,21,20,AZ,32.042583,-109.925641,beacon_ksn, ,"Interstate 10 @ 191, South on 191 10.5 miles to Dragoon Rd to Conchise Stronghold Rd, follow GPS to open field (old runway).",Nothing Found,NFIR, ,N
2314,2930,20,AZ,32.035818,-109.9158,beacons_kml,"PHOENIX EL PASO AWY BCN T 3<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CY1191</a></p>", ,Nothing Found,NFIR,"Cochise (1943) topo, lines up with Zhanna point",Y
4173,4969,20,AZ,32.04493,-109.92077,Phoenix Sectional Aeronautical Chart,T-3, ,Nothing Found,NFIR, ,N
21,22,21,AZ,32.005312,-109.579538,beacon_ksn, , ,Nothing Found,NFIR, ,N
2313,2929,21,AZ,32.007518,-109.591907,beacons_kml,"PHOENIX EL PASO AWY BCN T 4<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CY1181</a></p>", ,Nothing Found,NFIR,"Dos Cabezas (1943) topo, lines up with Zhanna point",Y
22,23,22,AZ,31.987222,-109.311111,beacon_ksn,Tower location.,"State Hwy 186 east of Wilcox, Take Hwy 186 south then go east on Hwy 181 into Chiricahua National Forest Go south on Pinery Canyon Road and north on North Fork for 3 miles (must hike 1 mile up hill to tower site).",Other Structures,FIR, ,N
23,24,22,AZ,31.983333,-109.291667,beacon_ksn,An abandoned storage shed was also found off of North Fork road that had apparently been moved from its original location at the generator site,"State Hwy 186 east of Wilcox, Take Hwy 186 south then go east on Hwy 181 into Chiricahua National Forest Go south on Pinery Canyon Road and north on North Fork for 3 miles (must hike 1 mile up hill to tower site). Generator site near abandoned mine.",Other Structures,FIR, ,N
2262,2878,22,AZ,31.99129,-109.30073,beacons_kml,"PHOENIX EL PASO AWY BCN T 5<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=CF0325</a></p>", ,Other Structures,FIR,"Chiricahua Peak (1957) topo, lines up with Zhanna point",Y
4181,4980,22,AZ,31.98925,-109.300582,Douglas Sectional Aeronautical Chart,T-5, ,Other Structures,FIR, ,N
24,25,23,AZ,35.045556,-114.359722,beacon_ksn,"RECON OF I MILE AREA AROUND SITE WITH NO FINDINGS; ROAD IS AN ALL WEATHER, WINDING,  MOUNTAINOUS TWO LANE","I-40 AT ARIZONA EXIT # 1, NORTH FROM EXIT TO GOLDEN SHORES, GO RIGHT ON OATMAN RD. 27 MI. TO MILE MARKER #27, ON RIGHT SIDE AT TURN-OUT AREA",Other Structures,FIR,nothing on aerials or topos,R
2549,3165,23,AZ,35.042417,-114.362611,beacons_kml,"CAA 25

AIRWAY BEACON TOWER", ,Other Structures,FIR,nothing on aerials or topos,R
25,26,24,AZ,35.196944,-114.0375,beacon_ksn,"RECON OF AREA WITH NO FINDINGS. MICROWAVE AND COMMUNICATIONS BLDGS. AND TOWERS.; ACCESS RD. IS BROKEN PAVEMENT, BUT PASSABLE BY AUTO.","I-40 AT EXIT # 52, STOCKTON HILLS RD., STOCKTON HILLS RD. WEST TO JEFFERSON ST. RIGHT TURN, FOLLOW ROAD TO PEAK",Nothing Found,NFIR, ,N
2548,3164,24,AZ,35.192257,-114.036524,beacons_kml,"KINGMAN AIRWAY BEACON TOWER

CAA27", ,Nothing Found,NFIR,"moved to align with Kinman (1980) topo, originally lined up with Zhanna point",Y
26,27,25,AZ,35.2325,-113.95,beacon_ksn,"RECON OF AREA WITH NO FINDINGS; NARROW DIRT ROADS, SOME WASHED OUT FROM RAINS","I-40 EAST FROM KINGMAN, AZ TO EXIT #59, LEFT OVER I-40, LEFT ON FRONTAGE RD, FOLLOW GPS AS THERE ARE NUMEROUS DIRT ROADS WITH NO NAMES",Nothing Found,NFIR,"nothing on aerials or topos, near ""Kingman"" airport",R
27,28,26,AZ,35.214722,-114.026944,beacon_ksn,Race track (horses); PAVED ROADS TO SITE,"I-40 EXIT #52  AT KINGMAN, AZ, STOCKTON HILLS RD. WEST TO DETROIT, TURN LEFT, FOLLOW TO MOHAVE COUNTY FAIRGROUNDS (DEAD-ENDS THERE)",Nothing Found,NFIR,nothing on aerials or topos,R
28,29,27,AZ,32.193855,-110.901567,beacon_ksn,"No findings. Tried to locate site by GPS reading, AFB boundary, residential area, and landscaped park.; Limited access due to new roads, AFB boundaries, and newly landscaped recreation areas.","Golf Links Rd @ Davis Monthan AFB, Golf Links Rd to Davis Monthan AFB, follow fenced area to GPS location.",Nothing Found,NFIR,nothing on aerials or topos,R
4177,4975,27,AZ,32.198863,-110.893991,Phoenix Sectional Aeronautical Chart,DAVIS-MONTHAN AFB 2626 L H 79, ,Nothing Found,NFIR,"nothing on aerials or topos, near airport symbol on Tuscon (1962)",R
29,30,28,AZ,35.214111,-113.769722,beacon_ksn,Tower location.,"INTERSTATE 40 @ BLAKE RANCH RD., BLAKE RANCH RD. N., TURN LEFT ON SNOWBIRD LN., RIGHT ON TY RD. (DIRT), FOLLOW GPS APPROX. 4.0 MILES TO GEN. SITE.  HIKE .7 MILE FOLLOWING 21 POWER POLES TO TOWER SITE",Other Structures,FIR, ,N
30,31,28,AZ,35.210556,-113.778139,beacon_ksn,"SOIL SAMPLE TAKEN AT 5' 6'' DEEP, @ 4' OUT FROM CENTERLINE OF FOUNDATION.  NARROW DIRT RD. TO GEN. SITE.","INTERSTATE 40 @ BLAKE RANCH RD., BLAKE RANCH RD. N., TURN LEFT ON SNOWBIRD LN., RIGHT ON TY RD. (DIRT), FOLLOW GPS APPROX. 4.0 MILES TO GEN. SITE",Other Structures,FIR, ,N
2547,3163,28,AZ,35.215542,-113.767127,beacons_kml,"LOS ANGELES ALBUQ AWY BCN 29<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FR0968</a></p>", ,Other Structures,FIR,"Hualapai Peak NE (1968) topo, lines up with Zhanna point",Y
31,32,29,AZ,35.220556,-113.535556,beacon_ksn,"NO EVIDENCE OF USTs, NO INDICATIONS ON MAGNETOMETER; DIRT ROADS, WELL MAINTAINED","I-40 AT EXIT 79, SILVER SPRINGS RD., NORTH ON SS RD. 6.3 MI., TURN RIGHT FOR .9 MI. TO SITE",Other Structures,FIR,nothing on aerials or topos,R
2546,3162,29,AZ,35.224944,-113.539583,beacons_kml,"LOS ANGELES ALBUQ AWY BCN 30<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FR0959</a></p>", ,Other Structures,FIR,"nothing on aerials or topos, lines up with Zhanna point",R
32,33,30,AZ,35.225278,-113.276944,beacon_ksn,NO FINDINGS OF ANY KIND; NARROW DIRT RD. TO GPS LEFT TURN. NO VISIBLE ROAD TO PEAK. HEAVILY WOODED,"I-40 @ CROSS MTN. RD., CROSS MTN. TO DIRT ROAD EAST TO GPS TURN-OFF,(LEFT), HIKE .6 MILE TO GPS LOCATION",Nothing Found,NFIR, ,N
2545,3161,30,AZ,35.230117,-113.280128,beacons_kml,"LOS ANGELES ALBUQ AWY BCN 31<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FR0946</a></p>", ,Nothing Found,NFIR,"Williams (1956) topo, lines up with Zhanna point",Y
33,34,31,AZ,35.295556,-113.156111,beacon_ksn,"NO FINDINGS; FLAT, OPEN DESERT WITH LOW GROWTH VEGETATION, SANDY, ROCKY SOIL","I-40 @ EXIT 103, NORTH TO FIRST DIRT ROAD ON RIGHT, TAKE ROAD EAST TO FENCE CORNER, TURN LEFT, FOLLOW ROAD UNTIL  GPS INDICATES RT. TURN, TURN RT. @ NEXT DIRT ROAD TO GPS LOCATION",Nothing Found,NFIR,nothing on aerials or topos,R
34,35,32,AZ,35.242895,-113.062518,beacon_ksn, , ,Nothing Found,NFIR,nothing on aerials or topos,R
35,36,33,AZ,35.223056,-112.738056,beacon_ksn,Primitive dirt road to base of hill -- no roads to site location,"Exit 139 off of Hwy 40 west of Williams, Go north on Route 66 for 7.7 miles.  Then turn south at Microwave facility and follow dirt road 4.2 miles to base of hill.",Nothing Found,NFIR,nothing on aerials or topos,R
36,37,34,AZ,35.258333,-112.063889,beacon_ksn,Tower has been removed; no power poles found.,"I40 exit @171 South, turn right on frontage road, @ end of frontage road turn left, follow 1-lane dirt road to site via GPS; from end of access road use abandoned (unused) road following GPS coordinates to the E/G building foundation",Other Structures,FIR, ,N
37,38,34,AZ,35.27075,-112.070194,beacon_ksn,Generator site.,"I40 exit @171 South, turn right on frontage road, @ end of frontage road turn left, follow 1-lane dirt road to site via GPS; from end of access road use abandoned (unused) road following GPS coordinates to the E/G building foundation",Other Structures,FIR, ,N
2542,3158,34,AZ,35.271054,-112.076713,beacons_kml,"LOS ANGELES ALBUQ AWY BCN 38 B<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FR0857</a></p>", ,Other Structures,FIR,"Sitgreaves Mountain (1989) topo, lines up with Zhanna point",Y
38,39,35,AZ,35.242222,-112.501667,beacon_ksn,Dirt road directly to site,"Hwy 40 west of Williams, Take exit 146 and go west on Lewis Ave. and go right on Double A Ranch Road.  Go west on Cumberland Rd. then south on Hal's Way. Then go right on Pearl Lane and left on Murphy's Way, then left on Frances Lane to site.",Other Structures,FIR,nothing on aerials or topos,R
3007,3623,35,AZ,35.228328,-112.548455,beacons_kml, , ,Other Structures,FIR,"nothing on topos, road to site and some structures on modern aerials, near historical ""Ash Fork Historical Airfield""",R
5576,6845,35,AZ,35.229312,-112.550479,Prescott Sectional Aeronautical Chart,36, ,Other Structures,FIR,nothing on aerials or topos,R
39,40,36,AZ,35.238889,-112.251944,beacon_ksn,Tower site.,"Hwy 40 at Williams, Take exit 161 and follow Golf Course Drive for 0.4 miles. Go straight on the dirt road for 2.5 miles to generator site location. Hike to tower site.",Other Evidence,FIR, ,N
40,41,36,AZ,35.234944,-112.243833,beacon_ksn,Generator site.,"Hwy 40 at Williams, Take exit 161 and follow Golf Course Drive for 0.4 miles. Go straight on the dirt road for 2.5 miles to site location.",Other Evidence,FIR, ,N
2544,3160,36,AZ,35.200116,-112.205042,beacons_kml,"PHOENIX WILLIAMS AWY BCN 38 A<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FR0872</a></p>", ,Other Evidence,FIR,"Bill Williams Mtn (1962) topo, radio and lookout towers labeled, lines up with Zhanna point",Y
41,42,37,AZ,35.261389,-112.070833,beacon_ksn,Multi-use peak covered in towers and small support buildings.; Well-kept dirt road up to site.,"Hwy 40 at exit 163, Go south of highway 40 and take a right on Railroad Rd. Then take a left on 4th Street.  Follow that road for approx. 4 miles and turn right on Bill Williams Lookout Road. Follow road up to site.",Nothing Found,NFIR,nothing on aerials or topos,R
42,43,38,AZ,35.261389,-112.070833,beacon_ksn,"No pictures of the tower were included. Site had been visited previously and cut off tower legs did not warrant hiking back up the hill.; Dirt road to generator site, no roads to tower site","Hwy 40 Take exit 171. Go S and turn W on the frontage road towards the Quality Inn.  The road turns into a dirt road.  Follow the dirt road to the left for 0.25 miles, turn right and travel for 0.25 miles and finally turn left and travel 0.1 miles to sit",Other Structures,NFIR,"nothing on aerials or topos, same point as side_id #37",R
43,44,38,AZ,35.261417,-112.061833,beacon_ksn,Generator site.,"Hwy 40 Take exit 171. Go S and turn W on the frontage road towards the Quality Inn.  The road turns into a dirt road.  Follow the dirt road to the left for 0.25 miles, turn right and travel for 0.25 miles and finally turn left and travel 0.1 miles to sit",Other Structures,NFIR,nothing on aerials or topos,R
44,45,39,AZ,35.16325,-111.951722,beacon_ksn,Nearby landowner stated that he had never seen any evidence of the Beacon tower. The generator site was located on fenced private property -- no tower was found,"Hwy 40 east of Williams, Take exit 178, then go south on Garland Prairie Rd. for approx. 8 miles to the site.",Other Structures,FIR,nothing on aerials or topos,R
45,46,40,AZ,35.218056,-111.900556,beacon_ksn,Well kept dirt roads to site; Well kept dirt roads to site, ,Other Structures,FIR, ,N
2537,3153,40,AZ,35.21802,-111.895545,beacons_kml,"LOS ANGELES ALBUQ AWY BCN 39 B<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FQ0673</a></p>", ,Other Structures,FIR,"Flagstaff (1960) topo, lines up with Zhanna point",Y
46,47,41,AZ,35.178889,-111.698889,beacon_ksn,Dirt roads are located all around the surrounding area,"Hwy 40 west of Flagstaff, Take exit 192 south on Flagstaff Ranch Rd. Then take a left on Kiltie Rd. No evidence was found of the site.",Nothing Found,NFIR,"nothing on aerials or topos, radio tower somewhat nearby in Flagstagg (1954) topo",R
47,48,42,AZ,35.153611,-111.473333,beacon_ksn,"Dirt road to site, very primitive road off of FR128 to site (need 4-wheel drive","Hwy 40 east of Flagstaff, Take exit 211 and go south on FR 82 then go west on FR 128 for 4.4 miles. The site is located just off the left side of the road.",Other Structures,NFIR, ,N
2536,3152,42,AZ,35.152917,-111.470389,beacons_kml,"LOS ANGELES ALBUQ AWY BCN 42<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FQ0606</a></p>", ,Other Structures,NFIR,"Flagstaff (1962) topo, lines up with Zhanna point",Y
5581,6850,42,AZ,34.885473,-111.676952,Prescott Sectional Aeronautical Chart,42, ,Other Structures,NFIR, ,N
48,49,43,AZ,35.146588,-111.278557,beacon_ksn, , ,Nothing Found,NFIR, ,R
2535,3151,43,AZ,35.147917,-111.2755,beacons_kml,"LOS ANGELES ALBUQ AWY BCN 43 A<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FQ0604</a></p>", ,Nothing Found,NFIR,"marked with dotted triangle in Flagstaff (1960), may be only a survey marker, lines up with Zhanna point",R
49,50,44,AZ,35.103683,-111.223974,beacon_ksn, , ,Nothing Found,NFIR, ,R
